Feature Name,Cluster 0 CD,Cluster 1 CD
AAK1,-0.008935193300767837,0.008935193300767752
AAMP,0.014994548928884507,-0.01499454892888442
AATF,0.012320730595311248,-0.012320730595311314
ABCA2,-0.015972234481710177,0.015972234481709972
ABCA7,0.018380323587681248,-0.018380323587681036
ABCC1,0.012252800061676391,-0.012252800061676472
ABCD1,-0.015573961005581434,0.015573961005581304
ABCD4,0.014936827215403695,-0.014936827215403743
ABCF1,0.012141586846832312,-0.012141586846832515
ABCF3,0.015498464146265517,-0.015498464146265576
ABHD12,-0.010882754680306948,0.010882754680306963
ABHD17A,0.018812539292426055,-0.01881253929242601
ABL2,-0.024684582240587855,0.024684582240587605
ABLIM1,-0.01741326672969412,0.01741326672969396
ABR,-0.005157082816131135,0.005157082816131195
ABTB1,-0.004899817653726545,0.004899817653726624
ACADVL,-0.007324821461741229,0.007324821461741232
ACAP1,0.020227188178597887,-0.020227188178597692
ACAP3,0.016302631386563887,-0.01630263138656394
ACIN1,0.023436294974330488,-0.023436294974330453
ACLY,-0.012000105924291137,0.012000105924291588
ACO2,0.015561357848647504,-0.01556135784864757
ACP2,5.809934315737463e-05,-5.809934315736978e-05
ACRBP,0.009740577698771784,-0.009740577698771803
ACSL1,0.02448226392767867,-0.024482263927678667
ACSS1,0.013410359004021339,-0.01341035900402146
ACTG1,0.06283573433091269,-0.0628357343309126
ACTN1,-0.01262541999030349,0.012625419990303621
ACTN4,-0.0061129364001882664,0.006112936400188126
ACTR1A,-0.0027504576557496273,0.0027504576557495705
ACTR1B,0.014282887039786966,-0.014282887039786998
ACTR2,0.012283334716263554,-0.012283334716263484
ADA,-0.016171304404836554,0.016171304404836478
ADA2,0.016813033285132627,-0.01681303328513249
ADAM10,0.013030502694955608,-0.013030502694955513
ADAM15,-0.006478780765599522,0.006478780765599385
ADAM19,-0.048965747505680446,0.04896574750568046
ADAMTS10,0.009223483983640722,-0.009223483983641192
ADAMTSL4,0.017188834389590554,-0.01718883438959063
ADAR,0.017271240521208354,-0.017271240521208302
ADCY7,-0.019597081020052722,0.01959708102005302
ADD1,0.020604321596812223,-0.02060432159681224
ADD3,-0.04972652549377876,0.04972652549377877
ADGRE5,-0.0037010059779150387,0.003701005977914983
ADGRG1,-0.013270581151887019,0.013270581151887124
ADPGK,0.011146494012916952,-0.01114649401291692
ADRM1,0.011931713946296824,-0.011931713946296892
AFF1,-0.048032367586894595,0.048032367586894525
AFTPH,-0.017538600491405962,0.01753860049140586
AGPAT2,-0.05175131960992331,0.051751319609923206
AGPAT3,-0.01736384181876133,0.01736384181876136
AGRN,0.0025931487137374407,-0.0025931487137373825
AGTRAP,0.013194895535399397,-0.01319489553539954
AHCYL1,-0.026373150376394705,0.026373150376394712
AHNAK,-0.002095808154832597,0.002095808154832592
AHSA1,-0.021024975941327358,0.02102497594132775
AIF1,0.001574604809685491,-0.0015746048096854732
AIP,-0.004660630009448666,0.004660630009448647
AKAP13,0.017719836218119605,-0.01771983621811955
AKAP17A,0.01694527097405916,-0.01694527097405939
AKAP8,0.011561704325941832,-0.011561704325941903
AKAP8L,0.01655170121600106,-0.01655170121600109
AKAP9,-0.01083975101565844,0.01083975101565821
AKNA,0.023452641026939766,-0.023452641026939735
AKR1A1,-0.018612174598936142,0.01861217459893617
AKR1B1,-0.002201874890006976,0.002201874890006937
AKT1,-0.006915984969949472,0.0069159849699495755
AKT2,0.01876046137259532,-0.018760461372595374
ALDH16A1,0.011158991939897321,-0.011158991939897328
ALDH3B1,-0.011371062775989213,0.011371062775989153
ALDH5A1,-0.025775940255391247,0.025775940255391126
ALDOA,0.021163345196470156,-0.02116334519647013
ALKBH4,-0.0197434527800998,0.019743452780099813
ALKBH5,0.014534699683910645,-0.01453469968391062
ALOX5,-0.005495557260977208,0.005495557260977556
ALS2CL,-0.01607049865819269,0.016070498658192708
AMPD2,0.01823985619320256,-0.018239856193202425
ANAPC2,0.01605736248662651,-0.01605736248662648
ANAPC5,0.015936888850075978,-0.01593688885007596
ANKLE2,0.01459043569721339,-0.014590435697213463
ANKRD11,0.021840095137505847,-0.021840095137505757
ANKRD12,-0.009059312847155011,0.009059312847154747
ANKRD13D,0.018241197709145125,-0.01824119770914511
ANKRD39,0.0024974265133036627,-0.002497426513303676
ANKRD44,-0.010709993538942456,0.010709993538942123
ANKZF1,0.015682093915175464,-0.015682093915175527
ANO9,0.014110751107976093,-0.01411075110797616
ANP32A,0.012521913169503266,-0.012521913169503436
ANP32B,-0.013527419615484983,0.013527419615484804
ANP32E,-0.019633005053561848,0.019633005053561883
ANPEP,-0.05075850737801364,0.050758507378013636
ANXA1,0.016821588479121952,-0.016821588479121848
ANXA11,0.02417717762070024,-0.02417717762070025
ANXA2,0.04649420400748467,-0.04649420400748472
ANXA5,0.012796228309506242,-0.012796228309506512
ANXA6,-0.01349019428144769,0.013490194281447513
AOAH,-0.0079211982400593,0.00792119824005948
AP1B1,-0.0024133056355322346,0.002413305635532284
AP1G2,0.014097833607628344,-0.014097833607628294
AP1M1,-0.002677298058451797,0.002677298058451785
AP2A1,-0.004932253668069454,0.00493225366806965
AP2A2,0.014907245837772101,-0.01490724583777212
AP2M1,-0.0024647244232288384,0.0024647244232287634
AP3B1,-0.020945323823908565,0.02094532382390831
AP3D1,0.021045630333074022,-0.021045630333073988
AP4E1,-0.02385642294724979,0.023856422947249684
AP5B1,0.011118189032175617,-0.011118189032175686
AP5Z1,-0.0053968874772158575,0.005396887477215827
APBA2,-0.020878188186271338,0.02087818818627118
